GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
doctortracker-backend,com.clinalert.doctortracker.config,CorsConfig,0,86,0,0,0,11,0,2,0,2
doctortracker-backend,com.clinalert.doctortracker.service,DoctorService,11,50,0,0,2,11,2,5,2,5
doctortracker-backend,com.clinalert.doctortracker.service,MeasurementService,0,114,1,13,0,23,1,10,0,4
doctortracker-backend,com.clinalert.doctortracker.service,AuthService,5,301,8,16,1,58,8,10,0,6
doctortracker-backend,com.clinalert.doctortracker.service,ReportService,7,275,0,4,2,45,0,4,0,2
doctortracker-backend,com.clinalert.doctortracker.service,ClinicService,0,66,0,0,0,14,0,8,0,8
doctortracker-backend,com.clinalert.doctortracker.service,AnomalyDetectionService,0,76,0,10,0,14,0,6,0,1
doctortracker-backend,com.clinalert.doctortracker.service,PatientService,0,57,0,2,0,13,0,8,0,7
doctortracker-backend,com.clinalert.doctortracker.service,UserService,18,217,1,17,0,52,4,18,3,10
doctortracker-backend,com.clinalert.doctortracker.service,EscalationService,0,46,0,2,0,10,0,3,0,2
doctortracker-backend,com.clinalert.doctortracker.service,SmartWatchHealthService,32,737,12,62,9,187,12,62,0,37
doctortracker-backend,com.clinalert.doctortracker.service,SmartWatchHealthService.HealthDataStats,15,30,0,0,5,14,5,8,5,8
doctortracker-backend,com.clinalert.doctortracker.service,AlertService,21,19,2,0,6,4,2,4,1,4
doctortracker-backend,com.clinalert.doctortracker.model,Measurement,4,59,0,0,2,25,1,17,1,17
doctortracker-backend,com.clinalert.doctortracker.model,User.UserRole,0,27,0,0,0,5,0,1,0,1
doctortracker-backend,com.clinalert.doctortracker.model,SmartWatchDevice,11,63,2,0,4,27,2,17,1,17
doctortracker-backend,com.clinalert.doctortracker.model,Doctor,0,38,0,0,0,16,0,11,0,11
doctortracker-backend,com.clinalert.doctortracker.model,DailyHealthSummary,28,147,0,0,14,61,7,42,7,42
doctortracker-backend,com.clinalert.doctortracker.model,Alert,0,59,0,0,0,25,0,16,0,16
doctortracker-backend,com.clinalert.doctortracker.model,Patient,0,52,0,0,0,22,0,15,0,15
doctortracker-backend,com.clinalert.doctortracker.model,Clinic,15,38,0,0,6,17,1,11,1,11
doctortracker-backend,com.clinalert.doctortracker.model,User,1,109,2,2,0,41,2,28,0,28
doctortracker-backend,com.clinalert.doctortracker.model,HealthData,10,108,2,0,4,46,2,31,1,31
doctortracker-backend,com.clinalert.doctortracker.dto,LoginResponse,0,18,0,0,0,7,0,1,0,1
doctortracker-backend,com.clinalert.doctortracker.security,JwtTokenProvider,32,77,0,0,12,26,2,5,2,5
doctortracker-backend,com.clinalert.doctortracker.security,SecurityConfig,0,160,0,0,0,23,0,8,0,8
doctortracker-backend,com.clinalert.doctortracker.security,JwtAuthenticationFilter,6,63,1,7,2,15,1,5,0,2
doctortracker-backend,com.clinalert.doctortracker.security,UserDetailsServiceImpl,0,15,0,0,0,2,0,2,0,2
doctortracker-backend,com.clinalert.doctortracker.security,JwtAuthenticationEntryPoint,0,25,0,0,0,7,0,3,0,3
doctortracker-backend,com.clinalert.doctortracker.controller,SmartWatchController,45,144,2,6,9,32,7,17,5,15
doctortracker-backend,com.clinalert.doctortracker.controller,ReportController,0,27,0,0,0,7,0,1,0,1
doctortracker-backend,com.clinalert.doctortracker.controller,AlertController,0,20,0,0,0,5,0,4,0,4
doctortracker-backend,com.clinalert.doctortracker.controller,UserController,45,258,7,13,14,50,7,13,0,10
doctortracker-backend,com.clinalert.doctortracker.controller,PatientController,16,62,2,2,6,15,3,7,1,7
doctortracker-backend,com.clinalert.doctortracker.controller,MeasurementController,11,62,2,8,3,13,2,5,0,2
doctortracker-backend,com.clinalert.doctortracker.controller,MeasurementController.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
doctortracker-backend,com.clinalert.doctortracker.controller,DoctorController,0,40,0,0,0,11,0,5,0,5
doctortracker-backend,com.clinalert.doctortracker.controller,ClinicController,0,45,0,0,0,12,0,6,0,6
doctortracker-backend,com.clinalert.doctortracker.controller,AuthController,6,127,0,2,2,29,0,5,0,4
doctortracker-backend,com.clinalert.doctortracker,DoctorTrackerApplication,5,3,0,0,2,1,1,1,1,1
doctortracker-backend,com.clinalert.doctortracker.util,DataSeeder,23,605,5,41,6,127,4,35,0,16
doctortracker-backend,com.clinalert.doctortracker.util,HmacUtil,7,85,0,8,3,17,0,8,0,4
doctortracker-backend,com.clinalert.doctortracker.util,AuthDataSeeder,0,94,0,2,0,24,0,4,0,3
